,title,doi,no_citations,in_dataset,year
867,Polarization State of High-Order Harmonic Emission from Aligned Molecules,10.1103/PhysRevLett.99.243001,1,No,2007
925,The SAURON project - XVII. Stellar population analysis of the absorption line strength maps of 48 early-type galaxies,10.1111/j.1365-2966.2010.17161.x,1,No,2010
927,Dynamical masses of early-type galaxies: a comparison to lensing results and implications for the stellar initial mass function and the distribution of dark matter,10.1111/j.1365-2966.2011.18725.x,1,No,2011
844,"Analysis of effects of macroscopic propagation and multiple molecular orbitals on the minimum in high-order harmonic generation of aligned CO<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow/><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>",10.1103/PhysRevA.83.053409,1,No,2011
989,Fractal-like hierarchical organization of bone begins at the nanoscale,10.1126/science.aao2189,1,No,2018
987,"Covalent organic frameworks comprising cobalt porphyrins for catalytic CO
            <sub>2</sub>
            reduction in water",10.1126/science.aac8343,1,No,2015
986,"Allergy, Parasites, and the Hygiene Hypothesis",10.1126/science.296.5567.490,1,No,2002
985,Community Diversity: Relative Roles of Local and Regional Processes,10.1126/science.235.4785.167,1,No,1987
984,Mechanisms in the Cycle of Violence,10.1126/science.2270481,1,No,1990
983,Cenozoic Tectonics of Asia: Effects of a Continental Collision: Features of recent continental tectonics in Asia can be interpreted as results of the India-Eurasia collision,10.1126/science.189.4201.419,1,No,1975
982,Turning a surface superrepellent even to completely wetting liquids,10.1126/science.1254787,1,No,2014
981,Averting Lemur Extinctions amid Madagascar's Political Crisis,10.1126/science.1245783,1,No,2014
980,Eosinophils Sustain Adipose Alternatively Activated Macrophages Associated with Glucose Homeostasis,10.1126/science.1201475,1,No,2011
979,Designing Superoleophobic Surfaces,10.1126/science.1148326,1,No,2007
978,Accelerated Intestinal Epithelial Cell Turnover: A New Mechanism of Parasite Expulsion,10.1126/science.1108661,1,No,2005
977,"Dispersal, Environment, and Floristic Variation of Western Amazonian Forests",10.1126/science.1078037,1,No,2003
976,Present-Day Crustal Deformation in China Constrained by Global Positioning System Measurements,10.1126/science.1063647,1,No,2001
975,Oblique Stepwise Rise and Growth of the Tibet Plateau,10.1126/science.105978,1,No,2001
974,High-flux soft x-ray harmonic generation from ionization-shaped few-cycle laser pulses,10.1126/sciadv.aar3761,1,No,2018
973,A single iron site confined in a graphene matrix for the catalytic oxidation of benzene at room temperature,10.1126/sciadv.1500462,1,No,2015
972,Catenary optics for achromatic generation of perfect optical angular momentum,10.1126/sciadv.1500396,1,No,2015
971,Determination of the Vocal-Tract Shape from Measured Formant Frequencies,10.1121/1.1910470,1,No,1967
988,Combining theory and experiment in electrocatalysis: Insights into materials design,10.1126/science.aad4998,1,No,2017
990,"CO
            <sub>2</sub>
            electroreduction to ethylene via hydroxide-mediated copper catalysis at an abrupt interface",10.1126/science.aas9100,1,No,2018
969,High spatial and temporal resolution synthetic aperture phase microscopy,10.1117/1.AP.2.6.065002,1,No,2020
991,"IL-22
            <sup>+</sup>
            CD4
            <sup>+</sup>
            T Cells Are Associated with Therapeutic
            <i>Trichuris trichiura</i>
            Infection in an Ulcerative Colitis Patient",10.1126/scitranslmed.3001500,1,No,2010
1008,"Late Cenozoic tectonic evolution of the Ningxia-Hui Autonomous Region, China",10.1130/0016-7606(1990)102<1484:LCTEOT>2.3.CO;2,1,No,1990
1007,Cytokine Production Associated with Periportal Fibrosis during Chronic Schistosomiasis Mansoni in Humans,10.1128/IAI.74.2.1215-1221.2006,1,No,2006
1006,Impairment of Protective Immunity to Blood-Stage Malaria by Concurrent Nematode Infection,10.1128/IAI.73.6.3531-3539.2005,1,No,2005
1005,"Dendritic Cells Activated with Products Released by Schistosome Larvae Drive Th2-Type Immune Responses, Which Can Be Inhibited by Manipulation of CD40 Costimulation",10.1128/IAI.73.1.395-402.2005,1,No,2005
1004,Schistosomiasis Decreases Central Nervous System Inflammation and Alters the Progression of Experimental Autoimmune Encephalomyelitis,10.1128/IAI.71.9.4996-5004.2003,1,No,2003
1003,Chronic Helminth Infection Induces Alternatively Activated Macrophages Expressing High Levels of CCR5 with Low Interleukin-12 Production and Th2-Biasing Ability,10.1128/IAI.70.7.3656-3664.2002,1,No,2002
1002,Intestinal Nematode Infection Ameliorates Experimental Colitis in Mice,10.1128/IAI.70.11.5931-5937.2002,1,No,2002
1001,Tapeworm Infection Reduces Epithelial Ion Transport Abnormalities in Murine Dextran Sulfate Sodium-Induced Colitis,10.1128/IAI.69.7.4417-4423.2001,1,No,2001
1000,"Identification of<i>tgh-2</i>, a Filarial Nematode Homolog of<i>Caenorhabditis elegans daf-7</i>and Human Transforming Growth Factor β, Expressed in Microfilarial and Adult Stages of<i>Brugia malayi</i>",10.1128/IAI.68.11.6402-6410.2000,1,No,2000
999,<i>Fasciola hepatica</i>Suppresses a Protective Th1 Response against<i>Bordetella pertussis</i>,10.1128/IAI.67.10.5372-5378.1999,1,No,1999
998,"Experimental
            <i>Fasciola hepatica</i>
            Infection Alters Responses to Tests Used for Diagnosis of Bovine Tuberculosis",10.1128/IAI.01445-06,1,No,2007
997,"Extracts of the Rat Tapeworm,<i>Hymenolepis diminuta</i>, Suppress Macrophage Activation<i>In Vitro</i>and Alleviate Chemically Induced Colitis in Mice",10.1128/IAI.01349-08,1,No,2010
996,Helminth Infection Can Reduce Insulitis and Type 1 Diabetes through CD25- and IL-10-Independent Mechanisms,10.1128/IAI.01170-08,1,No,2009
995,The<i>Fasciola hepatica</i>Tegumental Antigen Suppresses Dendritic Cell Maturation and Function,10.1128/IAI.00919-08,1,No,2009
994,Inhibition of Autoimmune Type 1 Diabetes by Gastrointestinal Helminth Infection,10.1128/IAI.00664-06,1,No,2007
993,<i>Heligmosomoides polygyrus</i>Promotes Regulatory T-Cell Cytokine Production in the Murine Normal Distal Intestine,10.1128/IAI.00358-07,1,No,2007
992,Helminth Infections and Host Immune Regulation,10.1128/CMR.05040-11,1,No,2012
970,Laser-Excited Atomic Fluorescence Techniques For Temperature Measurements In Flames: A Summary,10.1117/12.7973376,1,No,1984
968,Multiparameter grating metrology using optical scatterometry,10.1116/1.589320,1,No,1997
928,Age and metallicity gradients in early-type galaxies: a dwarf-to-giant sequence,10.1111/j.1365-2966.2011.19057.x,1,No,2011
947,The Long-Run Relationship between House Prices and Income: Evidence from Local Housing Markets,10.1111/j.1540-6229.2006.00172.x,1,No,2010
945,The nutritional and health benefits of mushrooms,10.1111/j.1467-3010.2010.01859.x,1,No,2010
944,Determining the relative roles of species replacement and species richness differences in generating beta‐diversity patterns,10.1111/j.1466-8238.2011.00694.x,1,No,2012
943,Climatic history and dispersal ability explain the relative importance of turnover and nestedness components of beta diversity,10.1111/j.1466-8238.2011.00671.x,1,No,2012
942,"Beyond taxonomic diversity patterns: how do α, β and γ components of bird functional and phylogenetic diversity respond to environmental gradients across France?",10.1111/j.1466-8238.2010.00647.x,1,No,2011
941,Scale‐related patterns in the spatial and environmental components of stream macroinvertebrate assemblage variation,10.1111/j.1466-8238.2006.00272.x,1,No,2007
940,"Spatial mismatch and congruence between taxonomic, phylogenetic and functional diversity: the need for integrative conservation strategies in a changing world",10.1111/j.1461-0248.2010.01493.x,1,No,2010
939,The merging of community ecology and phylogenetic biology,10.1111/j.1461-0248.2009.01314.x,1,No,2009
938,The metacommunity concept: a framework for multi‐scale community ecology,10.1111/j.1461-0248.2004.00608.x,1,No,2004
937,Utilizing the media to help increase organ donation in the Hispanic American population,10.1111/j.1399-0012.2011.01505.x,1,No,2011
936,Atopy and current intestinal parasite infection: a systematic review and meta‐analysis,10.1111/j.1398-9995.2010.02512.x,1,No,2011
935,Sputum eosinophilia: an early marker of bronchial response to occupational agents,10.1111/j.1398-9995.2008.01896.x,1,No,2009
934,<i>Trichinella spiralis‐</i>secreted products modulate DC functionality and expand regulatory T cells <i>in vitro</i>,10.1111/j.1365-3024.2012.01353.x,1,No,2012
933,Adoptive transfer of dendritic cells isolated from helminth‐infected mice enhanced T regulatory cell responses in airway allergic inflammation,10.1111/j.1365-3024.2011.01308.x,1,No,2011
932,Experimental autoimmune encephalomyelitis evolution was not modified by multiple infections with <i>Strongyloides venezuelensis</i>,10.1111/j.1365-3024.2011.01279.x,1,No,2011
931,IL‐10 and TGF‐β1 are associated with variations in fluke burdens following experimental fasciolosis in sheep,10.1111/j.1365-3024.2009.01135.x,1,No,2009
930,Made-to-measure galaxy models - II. Elliptical and lenticular galaxies,10.1111/j.1365-2966.2012.20488.x,1,No,2012
929,Stellar mass-to-light ratio gradients in galaxies: correlations with mass,10.1111/j.1365-2966.2011.19438.x,1,No,2011
946,Promoting Academic and Social‐Emotional School Readiness: The Head Start REDI Program,10.1111/j.1467-8624.2008.01227.x,1,No,2008
948,Engaging Multiproblem Families in Treatment: Lessons Learned Throughout the Development of Multisystemic Therapy,10.1111/j.1545-5300.1999.00265.x,1,No,1999
967,The Myth of Cognitive Decline: Non‐Linear Dynamics of Lifelong Learning,10.1111/tops.12078,1,No,2014
949,Trichuris suis seems to be safe and possibly effective in the treatment of inflammatory bowel disease,10.1111/j.1572-0241.2003.07660.x,1,No,2003
966,Rethinking empathy decline: results from an OSCE,10.1111/tct.12608,1,No,2017
965,Effect of pore size in bone regeneration using polydopamine‐laced hydroxyapatite collagen calcium silicate scaffolds fabricated by 3D mould printing technology,10.1111/ocr.12261,1,No,2019
964,Enriching preschool classrooms and home visits with evidence‐based programming: sustained benefits for low‐income children,10.1111/jcpp.12618,1,No,2017
963,Disentangling multi‐scale environmental effects on stream microbial communities,10.1111/jbi.13002,1,No,2017
962,"Partitioning taxon, phylogenetic and functional beta diversity into replacement and richness difference components",10.1111/jbi.12239,1,No,2014
961,Dietary protein intake affects albumin fractional synthesis rate in younger and older adults equally,10.1111/j.1753-4887.2007.00012.x,1,No,2008
960,Toward the Antioxidant and Chemical Characterization of Mycorrhizal Mushrooms from Northeast Portugal,10.1111/j.1750-3841.2011.02251.x,1,No,2011
959,Can retired galaxies mimic active galaxies? Clues from the Sloan Digital Sky Survey,10.1111/j.1745-3933.2008.00550.x,1,No,2008
958,A new conceptual and methodological framework for exploring and explaining pattern in presence – absence data,10.1111/j.1600-0706.2011.19451.x,1,No,2011
957,Hematological and serum biochemical indices in healthy bonnet macaques (Macaca radiata),10.1111/j.1600-0684.2011.00466.x,1,No,2011
956,Clinical chemistry and hematology values in a Caribbean population of African green monkeys,10.1111/j.1600-0684.2010.00422.x,1,No,2010
955,Changes in blood chemistry and hematology variables during aging in captive rhesus macaques (<i>Macaca mulatta</i>),10.1111/j.1600-0684.2001.tb00005.x,1,No,2001
954,"Biochemistry and haematology values for the baboon (<i>Papio hamadryas</i>): The effects of sex, growth, development and age",10.1111/j.1600-0684.1999.tb00085.x,1,No,1999
953,Hematology and Serum Chemistry Values of Juvenile and Adult Ruffed Lemurs (<i>Varecia variegata</i>),10.1111/j.1600-0684.1985.tb00165.x,1,No,1985
952,Prevention of psoriasis‐like lesions development in fsn/fsn mice by helminth glycans,10.1111/j.1600-0625.2006.00431.x,1,No,2006
951,The natural history of anxiety disorders,10.1111/j.1600-0447.1991.tb03176.x,1,No,1991
950,BASIC ANXIETY AS THE CORE OF NEUROSIS,10.1111/j.1600-0447.1965.tb04992.x,1,No,1965
845,"Suppression of high-order-harmonic intensities observed in aligned CO<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mrow/><mml:mn>2</mml:mn></mml:msub></mml:math>molecules with 1300-nm and 800-nm pulses",10.1103/PhysRevA.84.021403,1,No,2011
843,High-order harmonic spectroscopy of the Cooper minimum in argon: Experimental and theoretical study,10.1103/PhysRevA.83.053401,1,No,2011
1010,Motion of the Pacific plate relative to Eurasia and its potential relation to Cenozoic extension along the eastern margin of Eurasia,10.1130/0091-7613(1995)023<0719:MOTPPR>2.3.CO;2,1,No,1995
728,Scatterometry—fast and robust measurements of nano-textured surfaces,10.1088/2051-672X/4/2/023003,1,No,2016
736,"Supersingular 𝑗-invariants, hypergeometric
                    series, and Atkin’s orthogonal polynomials",10.1090/amsip/007/05,1,No,1997
735,Modular invariance of characters of vertex operator algebras,10.1090/S0894-0347-96-00182-8,1,No,2002
734,An index theorem for Toeplitz operators on totally ordered groups,10.1090/S0002-9939-98-04616-4,1,No,2002
733,Crossed products by semigroups of endomorphisms and the Toeplitz algebras of ordered groups,10.1090/S0002-9939-1994-1215024-1,1,No,2010
732,On induced covariant systems,10.1090/S0002-9939-1990-0994776-6,1,No,2010
731,The 𝐶*-algebra generated by an isometry,10.1090/S0002-9904-1967-11845-7,1,No,2008
730,A Vision for 21st Century U.S. Policy to Support Sustainable Advancement of Scientific Discovery and Technological Innovation,10.1089/omi.2010.0068,1,No,2010
729,Drug-delivery nanoparticles for bone-tissue and dental applications,10.1088/2057-1976/ac682c,1,No,2022
727,SMALL SCATTER AND NEARLY ISOTHERMAL MASS PROFILES TO FOUR HALF-LIGHT RADII FROM TWO-DIMENSIONAL STELLAR DYNAMICS OF EARLY-TYPE GALAXIES,10.1088/2041-8205/804/1/L21,1,No,2015
842,Influence of phase matching on the Cooper minimum in Ar high-order harmonic spectra,10.1103/PhysRevA.83.023420,1,No,2011
726,THE EFFECT OF SPATIAL GRADIENTS IN STELLAR MASS-TO-LIGHT RATIO ON BLACK HOLE MASS MEASUREMENTS,10.1088/2041-8205/768/1/L21,1,No,2013
725,THE EVOLUTION OF GALAXIES RESOLVED IN SPACE AND TIME: A VIEW OF INSIDE-OUT GROWTH FROM THE CALIFA SURVEY,10.1088/2041-8205/764/1/L1,1,No,2013
724,DARK MATTER CONTRACTION AND THE STELLAR CONTENT OF MASSIVE EARLY-TYPE GALAXIES: DISFAVORING “LIGHT” INITIAL MASS FUNCTIONS,10.1088/2041-8205/721/2/L163,1,No,2010
723,Modulation of bone formation and resorption using a novel zoledronic acid loaded gelatin nanoparticles integrated porous titanium scaffold: an in vitro and in vivo study,10.1088/1748-605X/ab8720,1,No,2020
722,Downhole microseismic monitoring for low signal-to-noise ratio events,10.1088/1742-2132/13/5/805,1,No,2016
721,Photometrically estimating the spatially-resolved stellar mass-to-light ratios for low-redshift galaxies,10.1088/1674-4527/19/12/171,1,No,2019
720,Elements of the quantitative rescattering theory,10.1088/1361-6455/aabaa2,1,No,2018
719,High-harmonic spectroscopy of aligned molecules,10.1088/1361-6455/50/2/022001,1,No,2017
737,"Vertex operator algebras with central charge
                    8 and 16",10.1090/conm/753/15173,1,No,2020
738,Modular Forms,10.1090/gsm/179,1,No,2017
739,Morita Equivalence and Continuous-Trace 𝐶*-Algebras,10.1090/surv/060,1,No,1998
740,Didacticism and Epistolarity in Horace's <i>Epistles</i> 1,10.1093/acprof:oso/9780199203956.003.0005,1,No,2007
757,T-Helper 17 Cells Are Associated With Pathology in Human Schistosomiasis,10.1093/infdis/jis654,1,No,2013
756,Chiral de Rham Complex on the Upper Half Plane and Modular Forms,10.1093/imrn/rnab248,1,No,2022
755,Semblance for microseismic event detection,10.1093/gji/ggv070,1,No,2015
754,Automated seismic event location by waveform coherence analysis,10.1093/gji/ggt477,1,No,2014
753,Coalescence microseismic mapping,10.1093/gji/ggt331,1,No,2013
752,"Anxiety, Aging and the Third Emergency Reaction",10.1093/geronj/34.2.197,1,No,1979
751,Heterogeneity of the Left Temporal Lobe in Semantic Representation and Control: Priming Multiple versus Single Meanings of Ambiguous Words,10.1093/cercor/bhq148,1,No,2011
750,Frontal Lobe Mechanisms that Resolve Proactive Interference,10.1093/cercor/bhi075,1,No,2005
749,Domain-general and Domain-sensitive Prefrontal Mechanisms for Recollecting Events and Detecting Novelty,10.1093/cercor/bhi054,1,No,2005
748,The Neural Mechanisms of Speech Comprehension: fMRI studies of Semantic Ambiguity,10.1093/cercor/bhi009,1,No,2005
747,Anterior temporal lobe degeneration produces widespread network-driven dysfunction,10.1093/brain/awt222,1,No,2013
746,"Dissecting the uncinate fasciculus: disorders, controversies and a hypothesis",10.1093/brain/awt094,1,No,2013
745,What the left and right anterior fusiform gyri tell us about semantic memory,10.1093/brain/awq272,1,No,2010
744,Semantic impairment in stroke aphasia versus semantic dementia: a case-series comparison,10.1093/brain/awl153,1,No,2006
743,Word comprehension,10.1093/brain/119.2.611,1,No,1996
742,Toward More Integrated Ecosystem Research in Aquatic and Terrestrial Environments,10.1093/biosci/biu216,1,No,2015
741,NOTES ON CONTINUOUS STOCHASTIC PHENOMENA,10.1093/biomet/37.1-2.17,1,No,1950
718,Advances in attosecond science,10.1088/0953-4075/49/6/062001,1,No,2016
717,Development of high harmonic generation spectroscopy of organic molecules and biomolecules,10.1088/0953-4075/49/13/132001,1,No,2016
716,Observation of Cooper minimum in krypton using high harmonic spectroscopy,10.1088/0953-4075/45/7/074010,1,No,2012
695,Intensity of Intestinal Infection with Multiple Worm Species Is Related to Regulatory Cytokine Output and Immune Hyporesponsiveness,10.1086/586717,1,No,2008
693,A Large Stellar Evolution Database for Population Synthesis Studies. III. Inclusion of the Full Asymptotic Giant Branch Phase and Web Tools for Stellar Population Analyses,10.1086/509870,1,No,2007
692,Parent Involvement in Schools: An Ecological Approach,10.1086/461654,1,No,1991
691,T Helper Cell Type 2 Responsiveness Predicts Future Susceptibility to Gastrointestinal Nematodes in Humans,10.1086/425014,1,No,2004
690,A Large Stellar Evolution Database for Population Synthesis Studies. I. Scaled Solar Models and Isochrones,10.1086/422498,1,No,2004
689,Parametric Recovery of Line‐of‐Sight Velocity Distributions from Absorption‐Line Spectra of Galaxies via Penalized Likelihood,10.1086/381875,1,No,2004
